Zip Code,Facility Count
33012,1
33013,1
33015,1
33016,2
33021,3
33024,1
33027,1
33028,1
33029,2
33033,1
33063,1
33064,2
33065,1
33073,1
33122,1
33125,1
33133,1
33134,2
33136,3
33140,1
33143,2
33146,1
33150,1
33155,1
33157,2
33169,1
33175,2
33176,1
33178,1
33180,2
33183,1
33186,1
33196,1
33308,3
33313,1
33316,2
33317,1
33321,1
33324,1
33328,2
33331,1
33401,1
33407,2
33410,2
33414,1
33417,1
33418,1
33428,1
33430,1
33435,1
33437,1
33458,1
33462,1
33463,1
33470,2
33472,1
33484,1
33486,1
33498,1
